Airport code,,District,Country
HLL,Hillside,Western Australia,Australia
HLM,Park Township,Michigan,United States
HLN,Helena,Montana,United States
HLP,Halim Perdana Kusuma,Jakarta Raya,Indonesia
HLR,Fort Hood AAF,Texas,United States
HLS,St Helens,Tasmania,Australia
HLT,Hamilton,Victoria,Australia
HLU,Houailou,New Caledonia,Not found
HLV,Helenvale,Queensland,Australia
HLW,Hluhluwe,Kwazulu-Natal,South Africa
HLY,Holyhead,Not found,Not found
HLZ,Hamilton,Waikato Region,New Zealand
HMA,Khanty-Mansiysk,Khanty-Mansi Autonomous Okrug,Russia
HME,Oued Irara Apt,Ouargla Province,Algeria
HMG,Hermannsburg,Northern Territory,Australia
HMI,Hami,Xinjiang Autonomous Region,China
HMJ,Khmelnitskiy,Khmelnytskyi,Ukraine
HMN,Holloman AFB,New Mexico,United States
HMO,Gen Pesqueira Garcia,Sonora,Mexico
HMR,Hamar Arpt,Hedmark,Norway
HMS,Homeshore,Not found,Not found
HMT,Ryan Field,California,United States
HMV,Hemavan,VÃ_sterbottens lÃ_n,Sweden
HNA,Hanamaki,Iwate Prefecture,Japan
HNB,Municipal,Indiana,United States
HNC,Hatteras,North Carolina,United States
HND,Haneda,TÅçkyÅç Prefecture,Japan
HNE,Tahneta Pass,Alaska,United States
HNG,Hienghene,Not found,Not found
HNH,Hoonah,Alaska,United States
HNI,Heiweni,Morobe,Papua New Guinea
HNK,Hinchinbrook Island,Not found,Not found
HNL,International,Hawaii,United States
HNM,Hana,Hawaii,United States
HNN,Honinabi,Western (Fly River),Papua New Guinea
HNO,Hercegnovi,Tierra del Fuego Province,Argentina
HNS,Municipal,Alaska,United States
HNX,Hanna,Not found,Not found
HNY,Hengyang,Hunan Province,China
HOA,Hola,Coast Province,Kenya
HOB,Lea County,New Mexico,United States
HOC,Komako,Ohio,United States
HOD,Hodeidah Arpt,Al Hydaydah Governorate,Yemen
HOE,Houeisay,Georgia,United States
HOF,Alahsa,Ash Sharqiyah Region,Saudi Arabia
HOG,Frank Pais,HolguÃ_n,Cuba
HOH,Hohenems,Vorarlberg,Austria
HOI,Hao Island,French Polynesia,Not found
HOK,Hooker Creek,Northern Territory,Australia
HOL,Holikachu,Papua,Indonesia
HOM,Homer,Alaska,United States
HON,Howes,South Dakota,United States
HOO,Nhon Co,Vietnam,Not found
HOP,Campbell AAF,Kentucky,United States
HOQ,Hof,Bavaria,Germany
HOR,Horta,Autonomous Region of Azores,Portugal
HOS,Oscar Reguera,NeuquÃ©n Province,Argentina
HOT,Memorial Field,Arkansas,United States
HOU,Hobby,Texas,United States
HOV,Hovden,MÃ¸re og Romsdal,Norway
HOW,Howard Afb,Not found,Not found
HOX,Homalin,Sagaing Division,Burma
HOY,Hoy Island,AntioquÃ_a Department,Colombia
HPB,Hooper Bay,Alaska,United States
HPE,Hope Vale,Entre RÃ_os Province,Argentina
HPH,Catbi,Hai Duong Province,Vietnam
HPN,Westchester County Apt,New York,United States
HPP,Poipet,Not found,Not found
HPR,Central Hpr,Gauteng,South Africa
HPT,Municipal,Iowa,United States
HPV,Princeville,Hawaii,United States
HPY,Baytown,Texas,United States
HQM,Bowerman,Washington,United States
HRA,Mansehra,CÃ_rdoba Province,Argentina
HRB,Harbin,Heilongjiang Province,China
HRC,Zhairem,Coahuila,Mexico
HRE,Harare,Harare Metropolitan Province,Zimbabwe
HRG,Hurghada,Red Sea Governorate,Egypt
HRJ,Chaurjhari,North Carolina,United States
HRK,Kharkov,Kharkiv,Ukraine
HRL,Valley International,Texas,United States
HRN,Heliport,Queensland,Australia
HRO,Boone County,Arkansas,United States
HRR,Herrera,Alaska,United States
HRS,Harrismith Airport,Free State,South Africa
HRT,Linton-On-Ouse,England,United Kingdom
HRY,Henbury,Northern Territory,Australia
HRZ,Horizontina,Rio Grande do Sul,Brazil
HSB,Raleigh,Illinois,United States
HSC,Shaoguan,Guangdong Province,China
HSG,Saga,Saga Prefecture,Japan
HSH,Henderson Sky Harbor,Nevada,United States
HSI,Hastings,Nebraska,United States
HSK,Huesca,AragÃ_n,Spain
HSL,Huslia,Alaska,United States
HSM,Horsham,Victoria,Australia
HSN,Zhoushan,Zhejiang Province,China
HSP,Ingalls Field,Virginia,United States
HSS,Hissar,Haryana,India
HST,AFB,Florida,United States
HSV,Huntsville,Alabama,United States
HSZ,Hsinchu,Hsinchu (city),Taiwan
HTA,Chita,Zabaykalsky Krai,Russia
HTB,Terre-de-Bas,Papua,Indonesia
HTF,Hatfield,Not found,Not found
HTG,Hatanga,Krasnoyarsk Krai,Russia
HTH,Hawthorne,Nevada,United States
HTI,Hamilton Island,Queensland,Australia
HTL,Roscommon County,Michigan,United States
HTM,Khatgal,Michoacin,Mexico
HTN,Hotan,Xinjiang Autonomous Region,China
HTO,East Hampton,New York,United States
HTR,Hateruma,Okinawa Prefecture,Japan
HTS,Tri-State/Milton,West Virginia,United States
HTU,Hopetoun,Victoria,Australia
HTW,Huntington County,Ohio,United States
HTZ,Hato Corozal,Casanare Department,Colombia
HUA,Redstone AAF,Alabama,United States
HUB,Humbert River,Northern Territory,Australia
HUC,Humacao Arpt,Puerto Rico,Not found
HUD,Humboldt,Iowa,United States
HUE,Humera,Tigrai,Ethiopia
HUF,Hulman Field,Indiana,United States
HUG,Huehuetenango,Buenos Aires Province,Argentina
HUH,Huahine,French Polynesia,Not found
HUI,Phu Bai,Bac Ninh Province,Vietnam
HUJ,Hugo,Oklahoma,United States
HUK,Hukuntsi,Kgalagadi District,Botswana
HUL,International,Maine,United States
HUM,Terrebonne,Louisiana,United States
HUN,Hualien,Hualien County,Taiwan
HUQ,Houn,Al Jufrah District,Libya
HUS,Municipal,Alaska,United States
HUT,Hutchinson,Kansas,United States
HUU,Huanuco,HuÃ¡nuco Region,PerÃº
HUV,Hudiksvall,GÃ_vleborge lÃ_n,Sweden
HUX,Huatulco,Oaxaca,Mexico
HUY,Humberside Arpt,England,United Kingdom
HUZ,Huizhou,Guangdong Province,China
HVA,Analalava,Mahajanga,Madagascar
HVB,Hervey Bay,Queensland,Australia
HVD,Khovd,Khovd,Mongolia
HVE,Intermediate,Utah,United States
HVG,Valan,Finnmark,Norway
HVK,Holmavik,Westfjords,Iceland
HVM,Hvammstangi,Northwestern Region,Iceland
HVN,New Haven,Connecticut,United States
HVR,City County,Montana,United States
HVS,Municipal,South Carolina,United States
HWA,Hawabango,Gulf,Papua New Guinea
HWD,Air Terminal,California,United States
HWI,SPB,Alaska,United States
HWK,Wilpena Pound,South Australia,Australia
HWN,Hwange Nat Park,Matabeleland North Province,Zimbabwe
HWO,North Perry,Florida,United States
HXX,Hay,New South Wales,Australia
HYA,Barnstable,Massachusetts,United States
HYC,High Wycombe,England,United Kingdom
HYD,Begumpet Airport,Telangana,India
HYF,Hayfields,East Sepik,Papua New Guinea
HYG,SPB,Alaska,United States
HYL,SPB,Alaska,United States
HYN,Huangyan,Zhejiang Province,China
HYR,Municipal,Wisconsin,United States
HYS,Municipal,Kansas,United States
HYV,Hyvinkaa,Southern Finland,Finland
HZB,Merville/Calonne,Nord-Pas-de-Calais,France
HZG,Hanzhong,Shaanxi Province,China
HZH,Liping,Guizhou Province,China
HZK,Husavik,Northeastern Region,Iceland
HZL,Hazleton,Pennsylvania,United States
HZV,Hazyview,Mpumalanga,South Africa
IAA,Igarka,Krasnoyarsk Krai,Russia
IAB,Mcconnell AFB,Kansas,United States
IAD,Washington Dulles Intl,District of Columbia,United States
IAG,International,New York,United States
IAH,George Bush Intercntl.,Texas,United States
IAM,In Amenas,Illizi Province,Algeria
IAN,Bob Barker Memorial,Alaska,United States
IAQ,Bahregan,Not found,Not found
IAR,Yaroslavl,Yaroslavl Oblast,Russia
IAS,Iasi,IaÅŸi,Romania
IAU,Iaura,Not found,Not found
IBA,Ibadan,Oyo,Nigeria
IBE,Ibague,Tolima Department,Colombia
IBI,Iboki,West New Britain,Papua New Guinea
IBL,Indigo Bay Lodge,Inhambane Province,Mozambique
IBO,Ibo,Cabo Delgado Province,Mozambique
IBP,Iberia,Madre de Dios Region,PerÃº
IBZ,Ibiza,Baleares,Spain
ICA,Icabaru,BolÃ_var,Venezuela
ICI,Cicia,Eastern,Fiji
ICK,Nieuw Nickerie,Nickerie,Suriname
ICL,Municipal,Iowa,United States
ICN,Seoul (Incheon),Incheon Gwang'yeogsi,South Korea
ICO,Sicogon Island,Chubut Province,Argentina
ICR,Nicaro,South Dakota,United States
ICT,Mid-Continent,Kansas,United States
ICY,Icy Bay,Alaska,United States
IDA,Fanning Field,Idaho,United States
IDB,Idre,Dalarnas lÃ_n,Sweden
IDC,Ila Da Chilonzuene,Not found,Not found
IDF,Idiofa,Bandundu Province,Congo (Kinshasa)
IDG,Municipal,Iowa,United States
IDI,Indiana,Pennsylvania,United States
IDK,Indulkana,South Australia,Australia
IDN,Indagen,Morobe,Papua New Guinea
IDO,Rio,Tocatins,Brazil
IDP,Independence,Kansas,United States
IDR,Indore,Madhya Pradesh,India
IEG,Babimost,Lubusz,Poland
IEJ,Iejima,Okinawa Prefecture,Japan
IES,Riesa,Saxony,Germany
IEV,Zhulhany,Kiev,Ukraine
IFA,Iowa Falls,Iowa,United States
IFF,Iffley,Queensland,Australia
IFH,Hesa,Esfahan Province,Iran
IFJ,Isafjordur,Westfjords,Iceland
IFL,Innisfail,Queensland,Australia
IFN,Isfahan,Esfahan Province,Iran
IFO,Ivano-Frankovsk,Ivano-Frankivsk,Ukraine
IFP,Laughlin Bullhead Intl,Arizona,United States
IGA,Inagua,Inagua,Bahamas
IGB,Ingeniero Jacobacci,RÃ_o Negro Province,Argentina
IGE,Iguela,OgoouÃ©-Maritime Province,Gabon
IGG,Igiugig,Alaska,United States
IGH,Ingham,Queensland,Australia
IGL,Cigli Military Arpt,Ä°zmir Province,Turkey
IGM,Kingman,Arizona,United States
IGN,Maria Cristina,Lanao del Norte Province,Philippines
IGO,Chigorodo,AntioquÃ_a Department,Colombia
IGR,Cataratas,Misiones Province,Argentina
IGS,Ingolstadt-Manching,Bavaria,Germany
IGU,Cataratas,Misiones Province,Argentina
IHA,Niihama,Not found,Not found
IHC,Inhaca,Maputo Province,Mozambique
IHN,Qishn,Al Mahrah Governorate,Yemen
IHO,Ihosy,Fianarantsoa,Madagascar
IHR,Iran Shahr,Sistan and Baluchestan Province,Iran
IHU,Ihu,Gulf,Papua New Guinea
IIA,Inishmaan,County Galway,Ireland
IIL,Ilaam,Iiam Province,Iran
IIN,Nishinoomote,Not found,Not found
IIS,Nissan Island,Bougainville (North Solomons),Papua New Guinea
IJK,Izhevsk,Udmurt Republic,Russia
IJU,J.Batista Bos Filho,Rio Grande do Sul,Brazil
IJX,Municipal,Illinois,United States
IKB,Wilkes County,North Carolina,United States
IKI,Iki,Nagasaki Prefecture,Japan
IKK,Greater Kankakee,Illinois,United States
IKL,Ikela,Equateur Province,Congo (Kinshasa)
IKO,Nikolski AFS,Alaska,United States
IKP,Inkerman,Queensland,Australia
IKS,Tiksi,Sakha (Yakutia) Republic,Russia
IKT,Irkutsk,Irkutsk Oblast,Russia
ILA,Illaga,Papua,Indonesia
ILB,Ilha Solteira,Not found,Not found
ILE,Municipal,Texas,United States
ILF,Ilford,Manitoba,Canada
ILG,Greater Wilmington,Delaware,United States
ILH,Illis Airbase,Bavaria,Germany
ILI,Iliamna,Alaska,United States
ILK,Ilaka,Toamasina,Madagascar
ILL,Willmar,Minnesota,United States
ILM,New Hanover County,North Carolina,United States
ILN,Clinton Field,Ohio,United States
ILO,Mandurriao,Iloilo Province,Philippines
ILP,Ile Des Pins,New Caledonia,Not found
ILQ,Ilo,Moquegua Region,PerÃº
ILR,Ilorin,Kwara,Nigeria
ILU,Kilaguni,Coast Province,Kenya
ILX,Ileg,Madang,Papua New Guinea
ILY,Glenegedale,Scotland,United Kingdom
ILZ,Zilina,Å_ilina,Slovakia
IMA,Iamalele,Milne Bay,Papua New Guinea
IMB,Imbaimadai,Cuyuni-Mazaruni,Guyana
IMD,Imonda,Sandaun (West Sepik),Papua New Guinea
IMF,Municipal,Manipur,India
IMG,Inhaminga,Sofala Province,Mozambique
IMI,Ine Island,Arno,Marshall Islands
IMK,Simikot,Karnali,Nepal
IML,Imperial,Nebraska,United States
IMM,Immokalee,Florida,United States
IMN,Imane,Morobe,Papua New Guinea
IMO,Zemio,Haut-Mbomou,Central African Republic
IMP,Imperatriz,MaranhÃ£o,Brazil
IMT,Ford,Michigan,United States
IMZ,Nimroz,Not found,Not found
INA,Inta,AntioquÃ_a Department,Colombia
INB,Independence,Stann Creek District,Belize
INC,Yinchuan,Ningxia Autonomous Region,China
IND,International,Indiana,United States
INE,Chinde,Zambezia Province,Mozambique
INF,In Guezzam,Florida,United States
ING,Lago Argentino,Santa Cruz Province,Argentina
INH,Inhambane,Inhambane Province,Mozambique
INI,Nis,NiÅ¡ava,Serbia
INJ,Injune,Texas,United States
INK,Wink,Texas,United States
INL,Falls Intl,Minnesota,United States
INM,Innamincka,South Australia,Australia
INN,Kranebitten,Tyrol,Austria
INO,Inongo,Bandundu Province,Congo (Kinshasa)
INQ,Inisheer,County Galway,Ireland
INR,Kincheloe AFB,Alaska,United States
INS,Af Aux,Nevada,United States
INT,Smith-Reynolds,North Carolina,United States
INU,International,Yaren,Nauru
INV,Inverness,Scotland,United Kingdom
INW,Winslow,Arizona,United States
INX,Inanwatan,West Papua,Indonesia
INY,Inyati,Limpopo,South Africa
INZ,In Salah,Tamanghasset Province,Algeria
IOA,Ioannina,Ioannina,Greece
IOK,Iokea,Gulf,Papua New Guinea
IOM,Ronaldsway,Isle of Man,Not found
ION,Impfondo,Likouala Department,Congo (Brazzaville)
IOP,Ioma,Northern (Oro),Papua New Guinea
IOR,Kilronan,County Galway,Ireland
IOS,Eduardo Gomes,Bahia,Brazil
IOU,Ile Ouen,New Caledonia,Not found
IOW,Iowa City,Iowa,United States
IPA,Ipota,Tafea,Vanuatu
IPC,Mataveri Intl,ValparaÃ_so Region,Chile
IPE,Ipil,Zamboanga Sibiguey Province,Philippines
IPG,Ipiranga,Amazonas,Brazil
IPH,Ipoh,Perak,Malaysia
IPI,San Luis,NariÃ±o Department,Colombia
IPL,Imperial County,California,United States
IPN,Usiminas,Minas Gerais,Brazil
IPT,Lycoming County,Pennsylvania,United States
IPU,Ipiau,Bahia,Brazil
IPW,Ipswich (Closed),Not found,Not found
IQM,Qiemo,Xinjiang Autonomous Region,China
IQN,Qingyang,Gansu Province,China
IQQ,Cavancha,TarapacÃ¡ Region,Chile
IQT,C.F. Secada,Loreto Region,PerÃº
IRA,Kirakira,Buenos Aires Province,Argentina
IRB,Municipal,Texas,United States
IRC,Circle City,Alaska,United States
IRD,Ishurdi,Rajshahi Division,Bangladesh
IRE,Irece,Bahia,Brazil
IRG,Lockhart River,Queensland,Australia
IRI,Nduli,Iringa Region,Tanzania
IRJ,La Rioja,La Rioja Province,Argentina
IRK,Municipal,Missouri,United States
IRN,Iriona,Colon,Honduras
IRO,Birao,Vakaga,Central African Republic
IRP,Matari,Orientale Province,Congo (Kinshasa)
IRS,Kirsch Municipal,Michigan,United States
ISA,Mount Isa,Queensland,Australia
ISB,Islamabad Intl,Islamabad Capital Territory,Pakistan
ISC,St Marys,England,United Kingdom
ISD,Iscuande,NariÃ±o Department,Colombia
ISE,Isparta,Isparta Province,Turkey
ISG,Ishigaki,Okinawa Prefecture,Japan
ISH,Ischia,Not found,Not found
ISI,Isisford,Queensland,Australia
ISJ,Isla Mujeres,Quintana Roo,Mexico
ISK,Gandhinagar Arpt,Maharashtra,India
ISL,Isabel Pass,Nueva Esparta,Venezuela
ISM,Kissimmee Gateway,Florida,United States
ISN,Sloulin Field Intl,North Dakota,United States
ISO,Stallings Field,North Carolina,United States
ISP,Long Island Macarthur,New York,United States
ISQ,Schoolcraft County,Michigan,United States
ISS,Wiscasset,Maine,United States
IST,Ataturk,Ä°stanbul Province,Turkey
ISW,Alexander Field,Wisconsin,United States
ITA,Itacoatiara,Amazonas,Brazil
ITB,Itaituba,ParÃ¡,Brazil
ITE,Itubera,Bahia,Brazil
ITH,Tompkins County,New York,United States
ITI,Itambacuri,ParÃ¡,Brazil
ITK,Itokama,Northern (Oro),Papua New Guinea
ITM,Itami,ÅŒsaka Prefecture,Japan
ITN,Itabuna,Bahia,Brazil
ITO,Hilo International,Hawaii,United States
ITP,Itaperuna,Rio de Janeiro,Brazil
ITQ,Itaqui,Rio Grande do Sul,Brazil
ITR,Itumbiara,GoiÃ¡s,Brazil
IUE,Hanan,Niue,Not found
IUL,Ilu,Papua,Indonesia
IUM,Summit Lake,Not found,Not found
IUS,Inus,Bougainville (North Solomons),Papua New Guinea
IVA,Ambanja,Antsiranana,Madagascar
IVC,Invercargill,Southland Region,New Zealand
IVG,Ivangrad,Berane Municipality,Montenegro
IVH,Ivishak,Alaska,United States
IVL,Ivalo,Lapland,Finland
IVO,Chivolo,Magdalena Department,Colombia
IVR,Inverell,New South Wales,Australia
IVW,Inverway,Northern Territory,Australia
IWA,Ivanova,Arizona,United States
IWD,Gogebic County,Michigan,United States
IWJ,Iwami,Shimane Prefecture,Japan
IWO,Iwo Jima Airbase,TÅçkyÅç Prefecture,Japan
IWS,West Houston,Texas,United States
IXA,Singerbhil,Tripura,India
IXB,Bagdogra,West Bengal,India
IXC,Chandigarh,Chandigarh,India
IXD,Bamrauli,Kansas,United States
IXE,Bajpe,Karnataka,India
IXG,Sambre,Karnataka,India
IXH,Kailashahar,Tripura,India
IXI,Lilabari,Assam,India
IXJ,Satwari,Jammu and Kashmir,India
IXK,Keshod,Gujarat,India
IXL,Bakula Rimpoche,Jammu and Kashmir,India
IXM,Madurai,Tamil Nadu,India
IXN,Khowai,Tripura,India
IXP,Pathankot,Punjab,India
IXQ,Kamalpur,Tripura,India
IXR,Ranchi,Jharkhand,India
IXS,Kumbhirgram,Assam,India
IXT,Pasighat,Arunachal Pradesh,India
IXU,Chikkalthana,Maharashtra,India
IXV,Along,Arunachal Pradesh,India
IXW,Sonari,Jharkhand,India
IXY,Kandla,Gujarat,India
IXZ,Port Blair,Andaman and Nicobar Islands,India
IYK,Kern County,California,United States
IZO,Izumo,Shimane Prefecture,Japan
IZT,Ixtepec,Oaxaca,Mexico
JAA,Jalalabad,Nangarhar Province,Afghanistan
JAB,Jabiru,Northern Territory,Australia
JAC,Jackson Hole,Wyoming,United States
JAD,Jandakot,Western Australia,Australia
JAE,Technology Park,Cajamarca Region,PerÃº
JAF,Kankesanturai,Northern Province,Sri Lanka
JAG,Jacobabad,Sindh,Pakistan
JAH,Agora Helipad,NeuquÃ©n Province,Argentina
JAI,Sanganeer,Rajasthan,India
JAJ,Perimeter Mall,Not found,Not found
JAK,Jacmel,Sud-Est Department,Haiti
JAL,Jalapa,Veracruz,Mexico
JAM,Jambol,Jambol Province,Bulgaria
JAN,Jackson-Evers,Mississippi,United States
JAO,Beaver Ruin,Not found,Not found
JAP,Punta Renes,Puntarenas,Costa Rica
JAQ,Jacquinot Bay,California,United States
JAR,Jahrom,Fars Province,Iran
JAS,County,Texas,United States
JAT,Jabot,Ailinglapalap,Marshall Islands
JAU,Jauja,JunÃ_n Region,PerÃº
JAV,Ilulissat,Greenland,Not found
JAX,International,Florida,United States
JBC,Boston City Heliport,Not found,Not found
JBK,Berkeley,California,United States
JBP,Commerce Bus. Plaza,Not found,Not found
JBR,Jonesboro,Arkansas,United States
JBS,Hacienda Bus.Park H/P,Sinaloa,Mexico
JBT,City Landing,Alaska,United States
JCA,Croisette Heliport,Georgia,United States
JCB,Joacaba,Santa Catarina,Brazil
JCC,China Basin Heliport,Not found,Not found
JCD,Downtown Heliport,Not found,Not found
JCE,Convention Center H/P,Not found,Not found
JCH,Qasigiannguit,Greenland,Not found
JCI,Johnson Industrial,Kansas,United States
JCJ,Chuja Heliport,Not found,Not found
JCK,Julia Creek,Queensland,Australia
JCM,Jacobina,Bahia,Brazil
JCN,Heliport,Nayarit,Mexico
JCO,Heliport,Not found,Not found
JCR,Jacareacanga,ParÃ¡,Brazil
JCT,Kimble County,Texas,United States
JCU,Ceuta Heliport,Ceuta,Spain
JCX,Citicorp Plaza H/P,Not found,Not found
JCY,Johnson,Texas,United States
JDA,John Day,Oregon,United States
JDB,Downtown Heliport,Not found,Not found
JDF,Francisco De Assis,Minas Gerais,Brazil
JDH,Jodhpur,Rajasthan,India
JDM,Downtown Heliport,Not found,Not found
JDN,Jordan,Montana,United States
JDO,Regional Do Cariri,CearÃ¡,Brazil
JDP,Heliport De Paris,Ã_le-de-France,France
JDT,Downtown Heliport,Not found,Not found
JDX,Central Bus. District,Heilongjiang Province,China
JDY,Heliport,Not found,Not found
JDZ,Jingdezhen,Jiangxi Province,China
JED,King Abdulaziz International,Makkah Region,Saudi Arabia
JEE,Jeremie,Grande'Anse Department,Haiti
JEF,Memorial,Missouri,United States
JEG,Aasiaat,Greenland,Not found
JEJ,Jeh,Ailinglapalap,Marshall Islands
JEM,Heliport,Not found,Not found
JEQ,Jequie,Bahia,Brazil
JER,States,Jersey,Not found
JEV,Heliport,Not found,Not found
JFK,John F Kennedy Intl,New York,United States
JFM,Heliport,Not found,Not found
JFN,Ashtabula,Ohio,United States
JFR,Paamiut,Greenland,Not found
JGA,Govardhanpur,Gujarat,India
JGB,Jagdalpur,Chhattisgarh,India
JGC,Heliport,Not found,Not found
JGE,Heliport,Not found,Not found
JGL,Galleria,Not found,Not found
JGN,Jiayuguan,Gansu Province,China
JGO,Qeqertarsuaq,Greenland,Not found
JGP,Greenway Plaza H/P,Not found,Not found
JGQ,Transco Twr Galleria,Not found,Not found
JGR,Heliport,Greenland,Not found
JGS,Ji An/Jing Gang Shan,Jiangxi Province,China
JGX,Heliport,Not found,Not found
JHB,Sultan Ismail Intl,Johor,Malaysia
JHC,Island Heliport,Not found,Not found
JHE,Heliport,Not found,Not found
JHG,Gasa,Yunnan Province,China
JHM,Kapalua,Hawaii,United States
JHQ,Shute Harbour H/P,Queensland,Australia
JHS,Sisimiut,Greenland,Not found
JHW,Jamestown,New York,United States
JHY,Hyatt Regency H/P,Not found,Not found
JIA,Juina,Mato Grosso,Brazil
